 Date = 2014.000     Altitude =   565.000 km      geodetic  

      Lat     Long       D       I       H       X       Y       Z       F
  -75.000  130.000 -155.53  -82.80    6043   -5500   -2503  -47833   48213
  -75.000  135.000 -165.89  -83.23    5705   -5533   -1391  -48079   48416
  -75.000  140.000 -176.97  -83.52    5477   -5469    -290  -48245   48555
  -75.000  145.000  171.55  -83.66    5372   -5313     790  -48333   48631
  -75.000  150.000  160.08  -83.63    5394   -5071    1837  -48345   48645
  -75.000  155.000  149.08  -83.46    5537   -4751    2845  -48285   48601
  -75.000  160.000  138.86  -83.15    5786   -4358    3806  -48155   48502
  -75.000  165.000  129.59  -82.73    6118   -3900    4715  -47962   48350
  -75.000  170.000  121.29  -82.22    6514   -3384    5566  -47708   48150
  -75.000  175.000  113.89  -81.65    6955   -2817    6359  -47397   47905
  -75.000  180.000  107.28  -81.03    7425   -2206    7089  -47035   47617
  -75.000  185.000  101.35  -80.37    7912   -1556    7757  -46625   47291
  -75.000  190.000   95.97  -79.68    8407    -874    8361  -46170   46929
  -75.000  195.000   91.05  -78.97    8903    -163    8901  -45674   46533
  -75.000  200.000   86.51  -78.24    9395     572    9378  -45140   46107
  -75.000  205.000   82.28  -77.50    9879    1328    9789  -44570   45652
  -75.000  210.000   78.29  -76.75   10352    2101   10136  -43969   45171
  -75.000  215.000   74.50  -75.99   10811    2888   10418  -43338   44666
  -75.000  220.000   70.87  -75.23   11253    3687   10632  -42681   44139
  -75.000  225.000   67.37  -74.46   11676    4494   10777  -41999   43592
  -75.000  230.000   63.95  -73.70   12079    5305   10851  -41298   43028
  -75.000  235.000   60.59  -72.93   12458    6117   10852  -40580   42449
  -75.000  240.000   57.28  -72.18   12811    6925   10778  -39850   41859
  -75.000  245.000   53.99  -71.44   13136    7723   10626  -39113   41260
  -75.000  250.000   50.71  -70.71   13431    8504   10395  -38374   40656
  -75.000  255.000   47.44  -70.01   13693    9262   10086  -37638   40052
  -75.000  260.000   44.15  -69.34   13922    9989    9698  -36912   39451
  -75.000  265.000   40.86  -68.70   14116   10677    9235  -36202   38857
  -75.000  270.000   37.55  -68.10   14276   11319    8700  -35515   38276
  -75.000  275.000   34.22  -67.55   14400   11907    8099  -34855   37712
  -75.000  280.000   30.89  -67.05   14491   12436    7439  -34228   37169
  -75.000  285.000   27.54  -66.61   14550   12901    6728  -33639   36651
  -75.000  290.000   24.20  -66.22   14580   13299    5976  -33093   36162
  -75.000  295.000   20.85  -65.89   14584   13629    5191  -32591   35706
  -75.000  300.000   17.51  -65.62   14565   13891    4382  -32137   35284
  -75.000  305.000   14.17  -65.40   14528   14086    3557  -31733   34900
  -75.000  310.000   10.85  -65.23   14477   14218    2724  -31378   34556
  -75.000  315.000    7.52  -65.11   14416   14292    1887  -31073   34254
  -75.000  320.000    4.20  -65.03   14348   14310    1051  -30819   33995
  -75.000  325.000    0.88  -65.00   14279   14277     219  -30616   33782
  -75.000  330.000   -2.46  -64.99   14210   14197    -609  -30464   33615
  -75.000  335.000   -5.81  -65.02   14145   14072   -1432  -30364   33497
  -75.000  340.000   -9.19  -65.08   14086   13905   -2251  -30316   33429
  -75.000  345.000  -12.62  -65.17   14033   13694   -3066  -30324   33413
  -75.000  350.000  -16.09  -65.28   13988   13440   -3877  -30387   33452
  -75.000  355.000  -19.62  -65.43   13950   13140   -4684  -30509   33547
  -70.000    0.000  -22.07  -63.56   13694   12691   -5145  -27533   30751
  -70.000    5.000  -25.43  -63.79   13695   12368   -5881  -27818   31006
  -70.000   10.000  -28.89  -64.06   13709   12003   -6623  -28183   31340
  -70.000   15.000  -32.44  -64.38   13731   11589   -7365  -28634   31756
  -70.000   20.000  -36.06  -64.76   13754   11118   -8097  -29175   32254
  -70.000   25.000  -39.76  -65.20   13771   10586   -8808  -29807   32835
  -70.000   30.000  -43.51  -65.72   13774    9989   -9484  -30532   33495
  -70.000   35.000  -47.31  -66.31   13754    9326  -10109  -31347   34231
  -70.000   40.000  -51.12  -66.98   13702    8600  -10667  -32247   35037
  -70.000   45.000  -54.96  -67.72   13611    7815  -11143  -33226   35906
  -70.000   50.000  -58.80  -68.54   13471    6978  -11522  -34275   36828
  -70.000   55.000  -62.64  -69.43   13275    6101  -11790  -35384   37792
  -70.000   60.000  -66.48  -70.39   13018    5195  -11937  -36538   38788
  -70.000   65.000  -70.33  -71.40   12694    4273  -11953  -37725   39803
  -70.000   70.000  -74.19  -72.47   12300    3352  -11835  -38928   40825
  -70.000   75.000  -78.07  -73.57   11834    2446  -11579  -40132   41840
  -70.000   80.000  -82.01  -74.71   11296    1570  -11186  -41320   42836
  -70.000   85.000  -86.03  -75.88   10688     741  -10663  -42476   43800
  -70.000   90.000  -90.17  -77.06   10015     -29  -10015  -43585   44720
  -70.000   95.000  -94.49  -78.25    9281    -727   -9253  -44631   45586
  -70.000  100.000  -99.09  -79.45    8496   -1342   -8390  -45602   46387
  -70.000  105.000 -104.07  -80.63    7670   -1865   -7440  -46486   47115
  -70.000  110.000 -109.63  -81.80    6816   -2290   -6419  -47274   47762
  -70.000  115.000 -116.06  -82.93    5950   -2614   -5345  -47957   48325
  -70.000  120.000 -123.79  -84.01    5096   -2834   -4235  -48531   48798
  -70.000  125.000 -133.56  -85.00    4285   -2953   -3105  -48994   49181
  -70.000  130.000 -146.44  -85.87    3566   -2971   -1971  -49344   49473
  -70.000  135.000 -163.66  -86.52    3017   -2895    -849  -49584   49675
  -70.000  140.000  174.78  -86.84    2741   -2730     249  -49716   49791
  -70.000  145.000  152.14  -86.77    2807   -2482    1312  -49745   49824
  -70.000  150.000  132.84  -86.34    3177   -2160    2329  -49678   49779
  -70.000  155.000  118.28  -85.68    3740   -1772    3294  -49520   49661
  -70.000  160.000  107.52  -84.89    4404   -1326    4200  -49279   49475
  -70.000  165.000   99.35  -84.04    5112    -831    5044  -48962   49228
  -70.000  170.000   92.89  -83.16    5830    -294    5823  -48576   48925
  -70.000  175.000   87.57  -82.26    6543     277    6537  -48127   48570
  -70.000  180.000   83.05  -81.36    7239     876    7185  -47623   48170
  -70.000  185.000   79.10  -80.46    7913    1497    7770  -47067   47728
  -70.000  190.000   75.57  -79.56    8564    2134    8294  -46466   47249
  -70.000  195.000   72.36  -78.66    9189    2784    8757  -45822   46735
  -70.000  200.000   69.40  -77.76    9789    3444    9163  -45140   46189
  -70.000  205.000   66.62  -76.87   10363    4112    9512  -44420   45613
  -70.000  210.000   63.98  -75.97   10913    4787    9807  -43667   45010
  -70.000  215.000   61.45  -75.06   11439    5468   10047  -42880   44380
  -70.000  220.000   58.97  -74.15   11939    6154   10231  -42063   43725
  -70.000  225.000   56.54  -73.24   12415    6845   10357  -41217   43046
  -70.000  230.000   54.12  -72.32   12863    7539   10421  -40344   42345
  -70.000  235.000   51.68  -71.39   13282    8236   10420  -39448   41624
  -70.000  240.000   49.20  -70.47   13668    8930   10348  -38535   40887
  -70.000  245.000   46.68  -69.56   14020    9619   10200  -37608   40137
  -70.000  250.000   44.09  -68.66   14333   10294    9972  -36677   39378
  -70.000  255.000   41.42  -67.78   14603   10950    9662  -35748   38616
  -70.000  260.000   38.68  -66.94   14829   11576    9267  -34831   37856
  -70.000  265.000   35.85  -66.14   15007   12164    8789  -33937   37106
  -70.000  270.000   32.95  -65.41   15137   12702    8233  -33074   36373
  -70.000  275.000   29.98  -64.74   15218   13182    7604  -32253   35663
  -70.000  280.000   26.95  -64.15   15253   13596    6913  -31482   34982
  -70.000  285.000   23.88  -63.64   15244   13938    6172  -30768   34337
  -70.000  290.000   20.79  -63.23   15194   14205    5393  -30117   33733
  -70.000  295.000   17.68  -62.90   15111   14397    4590  -29532   33173
  -70.000  300.000   14.58  -62.66   14999   14515    3776  -29014   32662
  -70.000  305.000   11.50  -62.51   14865   14566    2964  -28564   32200
  -70.000  310.000    8.45  -62.42   14716   14557    2162  -28178   31790
  -70.000  315.000    5.42  -62.40   14561   14496    1376  -27855   31431
  -70.000  320.000    2.43  -62.43   14405   14392     610  -27592   31126
  -70.000  325.000   -0.55  -62.50   14254   14254    -136  -27386   30874
  -70.000  330.000   -3.51  -62.60   14116   14089    -864  -27235   30675
  -70.000  335.000   -6.48  -62.72   13993   13903   -1579  -27138   30533
  -70.000  340.000   -9.48  -62.86   13889   13700   -2286  -27096   30448
  -70.000  345.000  -12.52  -63.01   13807   13479   -2992  -27110   30424
  -70.000  350.000  -15.62  -63.17   13748   13241   -3701  -27185   30464
  -70.000  355.000  -18.80  -63.35   13711   12980   -4418  -27324   30571
  -65.000    0.000  -21.49  -62.10   13106   12194   -4802  -24748   28004
  -65.000    5.000  -24.58  -62.32   13141   11951   -5465  -25049   28287
  -65.000   10.000  -27.79  -62.57   13205   11683   -6156  -25441   28664
  -65.000   15.000  -31.12  -62.87   13291   11379   -6869  -25935   29143
  -65.000   20.000  -34.55  -63.23   13390   11029   -7593  -26539   29726
  -65.000   25.000  -38.05  -63.67   13490   10623   -8314  -27258   30414
  -65.000   30.000  -41.59  -64.20   13580   10156   -9015  -28096   31206
  -65.000   35.000  -45.16  -64.84   13647    9623   -9677  -29051   32097
  -65.000   40.000  -48.71  -65.58   13678    9026  -10277  -30118   33079
  -65.000   45.000  -52.23  -66.42   13660    8367  -10797  -31290   34142
  -65.000   50.000  -55.69  -67.36   13580    7655  -11217  -32555   35274
  -65.000   55.000  -59.07  -68.39   13428    6901  -11519  -33897   36460
  -65.000   60.000  -62.38  -69.51   13194    6117  -11690  -35300   37685
  -65.000   65.000  -65.59  -70.69   12871    5319  -11721  -36742   38932
  -65.000   70.000  -68.71  -71.94   12455    4522  -11605  -38205   40184
  -65.000   75.000  -71.73  -73.25   11941    3744  -11339  -39665   41424
  -65.000   80.000  -74.65  -74.59   11331    2999  -10927  -41101   42635
  -65.000   85.000  -77.48  -75.96   10626    2304  -10373  -42492   43801
  -65.000   90.000  -80.20  -77.35    9831    1673   -9688  -43816   44906
  -65.000   95.000  -82.84  -78.76    8954    1116   -8884  -45055   45936
  -65.000  100.000  -85.39  -80.17    8002     643   -7976  -46191   46879
  -65.000  105.000  -87.85  -81.58    6987     262   -6982  -47209   47724
  -65.000  110.000  -90.22  -82.98    5922     -23   -5922  -48099   48462
  -65.000  115.000  -92.51  -84.37    4819    -211   -4815  -48852   49089
  -65.000  120.000  -94.70  -85.73    3692    -302   -3680  -49462   49600
  -65.000  125.000  -96.75  -87.07    2554    -300   -2536  -49930   49995
  -65.000  130.000  -98.51  -88.39    1416    -210   -1400  -50256   50276
  -65.000  135.000  -97.18  -89.67     290     -36    -288  -50445   50446
  -65.000  140.000   74.91  -89.07     817     213     788  -50504   50510
  -65.000  145.000   73.77  -87.85    1892     529    1817  -50440   50475
  -65.000  150.000   72.03  -86.66    2932     905    2789  -50263   50348
  -65.000  155.000   70.20  -85.50    3931    1332    3699  -49984   50138
  -65.000  160.000   68.36  -84.38    4885    1801    4541  -49612   49852
  -65.000  165.000   66.54  -83.28    5793    2306    5314  -49159   49499
  -65.000  170.000   64.75  -82.21    6651    2837    6016  -48633   49086
  -65.000  175.000   63.00  -81.17    7462    3388    6649  -48045   48621
  -65.000  180.000   61.28  -80.16    8226    3952    7214  -47402   48110
  -65.000  185.000   59.62  -79.16    8944    4524    7715  -46711   47560
  -65.000  190.000   57.99  -78.18    9619    5098    8157  -45979   46974
  -65.000  195.000   56.41  -77.22   10254    5673    8543  -45209   46357
  -65.000  200.000   54.88  -76.26   10853    6244    8877  -44404   45711
  -65.000  205.000   53.37  -75.31   11419    6812    9165  -43565   45037
  -65.000  210.000   51.90  -74.36   11955    7377    9407  -42695   44337
  -65.000  215.000   50.43  -73.40   12462    7939    9606  -41791   43610
  -65.000  220.000   48.95  -72.42   12943    8500    9760  -40855   42856
  -65.000  225.000   47.44  -71.43   13398    9062    9869  -39886   42076
